17.73,18.2,18.62,19.14,19.87,20.68,21.54,22.27,22.78,23.4,23.62,24.37,25.09,25.96,26.26,26.86,27.15
5.95,6.13,6.51,6.67,6.78,6.91,2.48,3.02,3.73,4.55,5.48,6.64,8.29,8.45,10.55,13.2,15.58
15.77,15.47,13.98,14.72,13.37,12.1,13.82,17.86,21.02,22.47,23.1,26.51,28.52,26.63,31.75,37.29,38.29
20.53,18.17,18.37,18.13,16.06,16.06,17.37,21.16,23.34,24.2,25.1,28.41,31.87,31.69,29.73,32.14,30.88
22.58,19.95,20.2,19.83,17.65,17.84,19.24,24.35,27.83,28.37,29.2,32.43,36.57,35.5,34.4,37.12,35.4
4.69,4.7,4.45,2.83,2.94,2.44,2.08,2.17,2.59,3.37,4.05,4.82,5.7,5.52,6.81,7.85,7.53
15.72,15.65,15.09,15.21,15.67,15.07,15.04,17.39,19.38,21.42,23.1,25.39,25.92,23.53,27.48,29.07,29.3
2.5,2.39,2.61,2.57,2.48,2.73,3.35,4.1,4.76,5.36,5.98,7.19,8.97,8.3,8.34,9.33,8.77
0,22.95,23.4,23.55,21.03,21.36,23.28,28.75,32.2,33.17,34.39,39.83,44.63,43.84,43.31,46.7,43.8
0,0,0,0,1.9,2,2.3,3.05,3.61,4.1,4.87,6.45,7.81,7.32,6.98,7.71,7.69
19.21,17.3,17.46,17.34,15.72,16.13,17.74,22.15,25.54,26.44,27.51,30.61,34.07,34.38,32.2,35,33.1
19.41,17.33,17.38,16.87,14.83,14.75,15.96,19.58,22.04,22.52,23.46,26.45,29.25,28.28,27.41,29.51,27.89
25.37,22.32,22.23,21.35,19.62,19.6,21.36,26.28,28.99,29.53,30.34,34.11,37.38,35.82,34.25,37.17,36.07
9.66,8.91,8.63,8.72,7.69,7,8.66,10.7,12.44,11.88,12.88,15.26,17.8,17.47,17.19,17.44,14.93
2.06,2.04,2.09,2.12,2.06,2.36,2.96,3.7,4.43,4.84,5.02,6.33,7.14,6.39,6.39,7.01,6.84
14.61,14.51,14.52,14.75,13.8,14.79,16.45,20.45,23.38,24.48,25.84,29.89,34.01,33.65,32.18,33.47,31.5
9.22,9.8,9.83,9.67,10.38,11.02,9.9,10.5,10.85,11.12,11.61,13.09,15.78,14.82,16.03,17.4,16.67
13.95,13.13,13.21,12.89,11.38,11.53,12.81,16.12,18.66,19.19,20.02,22.47,24.95,24.39,23.85,25.69,24.29
20.08,18.57,17.3,19.74,20.86,18.62,17.79,19.34,20.82,20.75,19.73,19.46,22.53,24.61,26.01,29.25,28.94
7.87,7.08,4.85,6.05,7.01,6.65,7.77,8.87,10.16,12.26,14.29,15.84,13.64,12.1,14.26,15.24,16.27
1.98,2.28,2.37,2.7,3.16,3.61,3.77,3.61,3.61,3.89,4.06,4.28,4.47,3.93,4.3,4.54,4.45
0,17.28,18.05,18.21,16.6,16.87,18.53,22.95,25.61,25.99,27.03,30.32,33.92,32.58,31.15,33.29,31.06
11.68,11.64,9.69,9.81,8.71,8.27,9.48,12.24,14.31,15.74,15.23,18.19,18.51,16.82,19.66,22.39,23.72
0,21.95,22.15,22.57,20.81,21.35,25.29,29.48,32.3,34.53,36.6,42.82,47.1,43.85,47.35,53.18,52.03
1.22,1.16,0.89,0.96,0.91,0.89,0.93,0.94,1,1.09,1.23,1.46,1.6,1.57,1.73,1.85,1.92
0,2.2,2.41,2.9,2.88,3.31,3.43,3.7,4.03,4.74,5.25,6.52,8.24,6.63,7.13,7.58,7.21
5.61,5.11,5.31,5.28,4.77,4.86,5.37,6.55,7.37,7.62,7.97,8.99,10.13,9.91,9.59,10.56,9.72
9.28,9.5,9.11,9.38,9.9,10.23,10.19,10.7,11.2,11.36,11.76,13.37,15.95,14.72,16.28,19.31,20.13
1.88,1.96,2.01,1.83,1.83,1.93,2.31,3.08,3.78,4.24,4.75,6.16,7.73,8.02,7.77,8.58,8.23
11.55,10.42,10.58,10.42,9.3,9.36,10.36,13,14.75,15.41,16.17,18.31,20.62,20.46,19.7,21.22,19.89
18.92,17.36,17.45,17.1,16.01,14.9,16.7,20.78,23.22,23.63,24.73,28.24,30.1,27.34,29.14,33,33.2
30.06,25.75,26.22,25.04,22.78,23.74,26.26,31.09,33.33,33.9,34.57,36.8,41.62,42.77,43.28,51.16,48.95
6.12,6.1,5.48,5.87,6.26,6.16,5.94,6.11,6.39,6.9,6.96,7.02,7.4,6.61,7.13,8,8.08
14.54,15.92,17.17,17.56,17.09,17.31,18.7,21.38,24.44,25.44,26.69,30.05,29.13,25.09,24.79,26.04,26.37
